sale_id,invoice_id,product_id,customer_id,location_id,date_id,quantity,price,total_revenue
1,22951,5,1102,2,20230325,2,525.96,1051.92
2,21238,7,1435,2,20231123,6,74.92,449.52
3,29165,4,1348,2,20230513,1,576.56,576.56
4,24727,5,1270,3,20230914,3,353.25,1059.75
5,23965,5,1106,1,20230528,7,312.7,2188.9
6,25686,6,1071,2,20231120,6,400.61,2403.66
7,29242,3,1188,2,20230509,1,649.9,649.9
8,23701,4,1020,2,20231019,5,51.23,256.15
9,22780,3,1102,1,20231217,7,860.16,6021.12
10,27398,4,1121,3,20231007,8,875.73,7005.84
11,21588,6,1466,2,20230713,6,658.88,3953.28
12,22368,1,1214,1,20230316,3,27.47,82.41
13,20436,3,1458,3,20230223,7,304.42,2130.94
14,21556,6,1372,2,20230706,3,365.28,1095.84
15,27480,4,1359,3,20230819,7,385.17,2696.19
16,29496,8,1151,2,20230122,2,852.75,1705.5
17,20182,5,1130,4,20230509,9,274.49,2470.41
18,26687,8,1308,1,20230415,6,226.09,1356.54
19,25565,7,1257,3,20231228,7,420.96,2946.72
20,27241,3,1343,3,20230730,7,473.92,3317.44
21,27651,1,1491,1,20230929,1,887.97,887.97
22,25575,5,1413,4,20230730,6,433.39,2600.34
23,29779,7,1385,3,20230610,2,809.19,1618.38
24,28851,8,1191,1,20230120,2,20.9,41.8
25,20159,4,1443,3,20230721,8,163.46,1307.68
26,26555,5,1276,2,20230206,4,711.71,2846.84
27,29203,4,1160,3,20230910,8,939.06,7512.48
28,28244,7,1459,2,20230202,3,792.07,2376.21
29,22307,5,1021,4,20231117,5,439.55,2197.75
30,21228,7,1252,4,20230421,3,413.82,1241.46
31,27226,8,1235,2,20230415,6,523.14,3138.84
32,25590,8,1344,2,20230803,7,182.47,1277.29
33,26919,4,1048,3,20230824,9,183.82,1654.38
34,25585,7,1474,3,20230611,9,293.98,2645.82
35,29227,5,1058,1,20231101,1,168.15,168.15
36,24945,4,1475,2,20230618,4,239.97,959.88
37,27927,1,1187,4,20231201,8,334.97,2679.76
38,27758,4,1270,3,20230727,6,607.37,3644.22
39,25086,8,1189,3,20231103,8,165.35,1322.8
40,27161,3,1174,3,20230616,2,431.86,863.72
41,21884,8,1445,4,20231004,1,602.89,602.89
42,23167,4,1363,1,20230415,2,807.04,1614.08
43,29009,1,1243,4,20230923,6,133.71,802.26
44,26056,1,1319,2,20231129,1,691.47,691.47
45,22437,7,1130,2,20230928,1,262.12,262.12
46,26468,4,1484,3,20230123,1,531.55,531.55
47,29080,7,1306,3,20230519,3,540.06,1620.18
48,25951,6,1134,1,20231116,1,742.08,742.08
