invoice_id,customer_id,product,quantity,price,total_revenue,country,invoice_date,year,month,day_of_week,revenue_bin
22951,1102,Mouse,2,525.96,1051.92,Colombia,2023-03-25,2023,3,Saturday,Low
21238,1435,Printer,6,74.92,449.52,Colombia,2023-11-23,2023,11,Thursday,Low
29165,1348,Monitor,1,576.56,576.56,Colombia,2023-05-13,2023,5,Saturday,Low
24727,1270,Mouse,3,353.25,1059.75,Ecuador,2023-09-14,2023,9,Thursday,Low
23965,1106,Mouse,7,312.7,2188.9,Chile,2023-05-28,2023,5,Sunday,Medium
25686,1071,Phone,6,400.61,2403.66,Colombia,2023-11-20,2023,11,Monday,Medium
29242,1188,Laptop,1,649.9,649.9,Colombia,2023-05-09,2023,5,Tuesday,Low
23701,1020,Monitor,5,51.23,256.15,Colombia,2023-10-19,2023,10,Thursday,Low
22780,1102,Laptop,7,860.16,6021.12,Chile,2023-12-17,2023,12,Sunday,High
27398,1121,Monitor,8,875.73,7005.84,Ecuador,2023-10-07,2023,10,Saturday,High
21588,1466,Phone,6,658.88,3953.28,Colombia,2023-07-13,2023,7,Thursday,High
22368,1214,Headphones,3,27.47,82.41,Chile,2023-03-16,2023,3,Thursday,Low
20436,1458,Laptop,7,304.42,2130.94,Ecuador,2023-02-23,2023,2,Thursday,Medium
21556,1372,Phone,3,365.28,1095.84,Colombia,2023-07-06,2023,7,Thursday,Low
27480,1359,Monitor,7,385.17,2696.19,Ecuador,2023-08-19,2023,8,Saturday,Medium
29496,1151,Tablet,2,852.75,1705.5,Colombia,2023-01-22,2023,1,Sunday,Medium
20182,1130,Mouse,9,274.49,2470.41,Peru,2023-05-09,2023,5,Tuesday,Medium
26687,1308,Tablet,6,226.09,1356.54,Chile,2023-04-15,2023,4,Saturday,Medium
25565,1257,Printer,7,420.96,2946.72,Ecuador,2023-12-28,2023,12,Thursday,Medium
27241,1343,Laptop,7,473.92,3317.44,Ecuador,2023-07-30,2023,7,Sunday,High
27651,1491,Headphones,1,887.97,887.97,Chile,2023-09-29,2023,9,Friday,Low
25575,1413,Mouse,6,433.39,2600.34,Peru,2023-07-30,2023,7,Sunday,Medium
29779,1385,Printer,2,809.19,1618.38,Ecuador,2023-06-10,2023,6,Saturday,Medium
28851,1191,Tablet,2,20.9,41.8,Chile,2023-01-20,2023,1,Friday,Low
20159,1443,Monitor,8,163.46,1307.68,Ecuador,2023-07-21,2023,7,Friday,Medium
26555,1276,Mouse,4,711.71,2846.84,Colombia,2023-02-06,2023,2,Monday,Medium
29203,1160,Monitor,8,939.06,7512.48,Ecuador,2023-09-10,2023,9,Sunday,High
28244,1459,Printer,3,792.07,2376.21,Colombia,2023-02-02,2023,2,Thursday,Medium
22307,1021,Mouse,5,439.55,2197.75,Peru,2023-11-17,2023,11,Friday,Medium
21228,1252,Printer,3,413.82,1241.46,Peru,2023-04-21,2023,4,Friday,Medium
27226,1235,Tablet,6,523.14,3138.84,Colombia,2023-04-15,2023,4,Saturday,High
25590,1344,Tablet,7,182.47,1277.29,Colombia,2023-08-03,2023,8,Thursday,Medium
26919,1048,Monitor,9,183.82,1654.38,Ecuador,2023-08-24,2023,8,Thursday,Medium
