invoice_id,customer_id,product,quantity,price,total_revenue,country,invoice_date
22951,1102.0,Mouse,2,525.96,1051.92,Colombia,2023-03-25
21238,1435.0,Printer,6,74.92,449.52,colombia,2023-11-23
29165,1348.0,Monitor,1,576.56,576.56,colombia,2023-05-13
24727,1270.0,Mouse,3,353.25,1059.75,Ecuador,14-09-2023
23965,1106.0,Mouse,7,312.7,2188.9,Chile,2023-05-28
25686,1071.0,Phone,6,400.61,2403.66,Colombia,2023-11-20
29242,1188.0,Laptop,1,649.9,649.9,Colombia,2023-05-09
23701,1020.0,Monitor,5,51.23,256.15,colombia,2023-10-19
22780,1102.0,Laptop,7,860.16,6021.12,Chile,2023-12-17
27398,1121.0,Monitor,8,875.73,7005.84,Ecuador,2023-10-07
21588,1466.0,Phone,6,658.88,3953.28,colombia,2023-07-13
22368,1214.0,Headphones,3,27.47,82.41,Chile,2023-03-16
25789,,Printer,5,534.28,2671.4,ecuador,2023-01-29
20436,1458.0,Laptop,7,304.42,2130.94,ecuador,23-02-2023
22828,,Keyboard,3,82.01,246.03,Ecuador,2023-10-12
21556,1372.0,Phone,3,365.28,1095.84,CO,2023-07-06
27570,,Printer,2,311.48,622.96,colombia,2023-09-10
27480,1359.0,Monitor,7,385.17,2696.19,ecuador,2023-08-19
29496,1151.0,Tablet,2,852.75,1705.5,Colombia,2023-01-22
20182,1130.0,Mouse,9,274.49,2470.41,Peru,2023-05-09
27190,,Mouse,8,345.84,2766.72,CO,2023-12-22
26687,1308.0,Tablet,6,226.09,1356.54,Chile,2023-04-15
25565,1257.0,Printer,7,420.96,2946.72,ecuador,2023-12-28
27241,1343.0,Laptop,7,473.92,3317.44,Ecuador,2023-07-30
27651,1491.0,Headphones,1,887.97,887.97,Chile,2023-09-29
25575,1413.0,Mouse,6,433.39,2600.34,Peru,2023-07-30
21589,1293.0,Mouse,6,-83.02658943803908,-527.41,Chile,2023-12-03
29779,1385.0,Printer,2,809.19,1618.38,ecuador,2023-06-10
28851,1191.0,Tablet,2,20.9,41.8,Chile,2023-01-20
20159,1443.0,Monitor,8,163.46,1307.68,Ecuador,2023-07-21
26555,1276.0,Mouse,4,711.71,2846.84,Colombia,2023-02-06
29203,1160.0,Monitor,8,939.06,7512.48,ecuador,2023-09-10
28244,1459.0,Printer,3,792.07,2376.21,Colombia,2023-02-02
26846,1313.0,Monitor,-2,854.93,-1709.86,ecuador,2023-02-04
22307,1021.0,Mouse,5,439.55,2197.75,Peru,2023-11-17
21228,1252.0,Printer,3,413.82,1241.46,Peru,2023-04-21
27226,1235.0,Tablet,6,523.14,3138.84,colombia,2023-04-15
25590,1344.0,Tablet,7,182.47,1277.29,CO,2023-08-03
26919,1048.0,Monitor,9,183.82,1654.38,Ecuador,2023-08-24
25585,1474.0,Printer,9,293.98,2645.82,Ecuador,2023-06-11
29227,1058.0,Mouse,1,168.15,168.15,Chile,2023-11-01
26046,1169.0,Keyboard,5,-63.01014568020967,-315.05,Chile,2023-03-11
24945,1475.0,Monitor,4,239.97,959.88,colombia,2023-06-18
27927,1187.0,Headphones,8,334.97,2679.76,Peru,2023-12-01
27016,1463.0,Printer,-1,871.32,-871.32,Ecuador,2023-02-17
27758,1270.0,Monitor,6,607.37,3644.22,Ecuador,2023-07-27
25086,1189.0,Tablet,8,165.35,1322.8,ecuador,2023-11-03
29456,1445.0,Laptop,2,592.26,1184.52,colombia,NULL
27161,1174.0,Laptop,2,431.86,863.72,ecuador,2023-06-16
21884,1445.0,Tablet,1,602.89,602.89,Peru,2023-10-04
21809,1050.0,Printer,-2,876.0,-1752.0,Colombia,2023-07-07
23167,1363.0,Monitor,2,807.04,1614.08,Chile,2023-04-15
26352,,Tablet,2,416.19,832.38,colombia,2023-02-02
29009,1243.0,Headphones,6,133.71,-802.26,Peru,2023-09-23
26056,1319.0,Headphones,1,691.47,691.47,colombia,2023-11-29
22437,1130.0,Printer,1,262.12,262.12,colombia,2023-09-28
26468,1484.0,Monitor,1,531.55,531.55,Ecuador,2023-01-23
29080,1306.0,Printer,3,540.06,1620.18,Ecuador,2023-05-19
25951,1134.0,Phone,1,742.08,742.08,Chile,2023-11-16
25276,1020.0,Phone,8,340.37,2722.96,CO,2023-01-10
28859,1328.0,Monitor,2,776.26,1552.52,colombia,2023-11-11
27818,1166.0,Headphones,1,669.86,669.86,Colombia,2023-01-30
24728,1273.0,Laptop,9,513.6,4622.4,ecuador,2023-02-17
22624,1387.0,Mouse,4,933.18,3732.72,colombia,2023-05-12
25738,1088.0,Keyboard,3,712.69,2138.07,ecuador,2023-10-08
24232,,Phone,2,975.49,1950.98,Chile,2023-08-03
25793,1013.0,Mouse,6,223.12,1338.72,Peru,2023-12-16
24523,1241.0,Phone,2,522.42,1044.84,Chile,2023-05-10
25571,1264.0,Headphones,1,410.95,410.95,Chile,2023-07-23
29010,1345.0,Printer,5,329.96,1649.8,Chile,2023-11-02
29298,1052.0,Laptop,5,164.96,824.8,Ecuador,2023-11-26
22224,1385.0,Mouse,5,295.95,1479.75,Ecuador,2023-06-15
28389,1339.0,Printer,2,175.28,350.56,ecuador,2023/05/15
26091,1091.0,Tablet,2,94.55,189.1,Colombia,2023-11-26
28662,1366.0,Printer,3,839.08,2517.24,Peru,2023-07-20
26361,1443.0,Keyboard,4,512.43,2049.72,Peru,2023-09-04
21948,1454.0,Laptop,4,234.49,937.96,Ecuador,2023-11-22
27094,,Printer,1,692.93,692.93,Chile,2023-12-25
26318,1263.0,Keyboard,1,116.17,116.17,Chile,2023-06-28
23796,1430.0,Mouse,9,910.49,8194.41,ecuador,2023-11-27
20234,,Printer,7,81.19,568.33,ecuador,2023-05-08
29120,1205.0,Monitor,9,958.19,8623.71,colombia,2023-10-05
23607,1080.0,Tablet,-1,208.63,-208.63,ecuador,2023-01-26
28043,1419.0,Keyboard,9,187.85,1690.65,Chile,2023-02-16
